Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,,,,,,,,,,
AZ1117EH-3.3TRG1,1,Diodes Inc.,AZ1117EH-3.3TRG1,https://octopart.com/az1117eh-3.3trg1-diodes+inc.-49446529,"LDO Fixed Output Voltage Regulator LM3965S-3.3V, +3.3V, 1.5A, SOT223 /tape-2k5/",3.3V Regulator,U2,,,,Compliant,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEC12R-4220F-S0024,1,Bourns,PEC12R-4220F-S0024,https://octopart.com/pec12r-4220f-s0024-bourns-26648369,Incremental Encoder 24 PPR 2 Bit Quadrature 5VDC at 10 mA IP40 PCB Mount 100RPM,Rotary Encoder,U3,,,24w,Compliant,1,PEC12R-4220F-S0024-ND,652-PEC12R-4220F-S24,53W9605,PEC12R-4220F-S0024,7377773P,Tray,Tray,,Bulk,,1.17,1.15,1.15,,1.233,7680,22,51,1240,1,1,1,1,20,1,https://octopart.com/click/track?country=US&ct=offers&ppid=26648369&sid=459&sig=0e801e8&vpid=93845225&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=26648369&sid=2401&sig=09f0eeb&vpid=84631990&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=26648369&sid=2402&sig=0076b96&vpid=96067648&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=26648369&sid=2429&sig=03facb6&vpid=729975190&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=26648369&sid=10022&sig=0f576b6&vpid=660513951&ai4=706,Newark,53W9605,,1.15,1.15,1.15,51,1,https://octopart.com/click/track?country=US&ct=offers&ppid=26648369&sid=2402&sig=0076b96&vpid=96067648&ai4=706,
OSTTC032162,2,On Shore Technology,OSTTC032162,https://octopart.com/osttc032162-on+shore+technology-309929,"Terminal Block Header 3 Position Top Screw 0.200"" (5.08mm) PC Pins",Screw Terminal Block,J1,,,17w,Compliant,2,ED2610-ND,,,,,Bulk,,,,,0.89,,,,,27826,,,,,1,,,,,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=309929&sid=459&sig=040ab9c&vpid=1686177&ai4=706,,,,,Digi-Key,ED2610-ND,Bulk,0.89,1.78,1.78,27826,1,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=309929&sid=459&sig=040ab9c&vpid=1686177&ai4=706,
MEM2067-02-180-00-A,1,Global Connector Technology,MEM2067-02-180-00-A,https://octopart.com/mem2067-02-180-00-a-global+connector+technology-51853453,8 Contact Hinged SMT 1.8 mm Profile Micro SD Card (No Peg No Switch),Micro-SD Card Connector,J4,,,,Non-Compliant,1,,,87X8191,,,,,,,,,,1.12,,,,,1000,,,,,1,,,,,https://octopart.com/click/track?country=US&ct=offers&ppid=51853453&sid=2402&sig=0c56e16&vpid=174053591&ai4=706,,,Newark,87X8191,,1.12,1.12,1.12,1000,1,https://octopart.com/click/track?country=US&ct=offers&ppid=51853453&sid=2402&sig=0c56e16&vpid=174053591&ai4=706,
FT232RL-REEL,1,FTDI,FT232RL-REEL,https://octopart.com/ft232rl-reel-ftdi-19172117,"USB Controller, 3MBd, USB2.0, 1.8 - 5.25 V, 28-Pin SSOP, USBmadeEZ-UART Series",USB to RS232 controller,U4,,,33w,Compliant,1,768-1007-6-ND,895-FT232RL,91K9918,,406580P,Custom Reel,Tape & Reel,,,,4.7,4.7,7.84,,,0,0,0,,8387,1,1,1,,20,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=19172117&sid=459&sig=0470ac4&vpid=34427627&ai4=706,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=19172117&sid=2401&sig=07de4eb&vpid=37695958&ai4=706,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=19172117&sid=2402&sig=03b64fa&vpid=230065564&ai4=706,,https://octopart.com/click/track?country=US&ct=offers&ppid=19172117&sid=10022&sig=081ebdb&vpid=696000653&ai4=706,Digi-Key,768-1007-6-ND,Custom Reel,4.7,4.7,4.7,0,1,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=19172117&sid=459&sig=0470ac4&vpid=34427627&ai4=706,
PTS645SL50SMTR92LFS,2,C&K Components,PTS645SL50SMTR92LFS,https://octopart.com/pts645sl50smtr92lfs-c%26k+components-55397153,Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 100000Cycles 1.27N SMD T/R,Tactile Switch,"BOOT1, EN1",,,30w,Compliant,2,CKN9088CT-ND,611-PTS645SL50SMTR92,35AH5230,PTS645SL50SMTR92LFS,1359177,Cut Tape,Tape & Reel,,Bulk,,0.25,0.26,0.166,,,125100,22727,437,1800,1,1,1,1,1000,1000,https://octopart.com/click/track?country=US&ct=offers&ppid=55397153&sid=459&sig=0bc7f49&vpid=76879289&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=55397153&sid=2401&sig=00951f2&vpid=480548423&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=55397153&sid=2402&sig=0e58fb1&vpid=587929574&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=55397153&sid=2429&sig=0db37df&vpid=730125165&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=55397153&sid=10022&sig=0a37bbe&vpid=575459103&ai4=706,Newark,35AH5230,,0.166,0.332,0.332,437,1,https://octopart.com/click/track?country=US&ct=offers&ppid=55397153&sid=2402&sig=0e58fb1&vpid=587929574&ai4=706,
USB3076-30-A,1,Global Connector Technology,USB3076-30-A,https://octopart.com/usb3076-30-a-global+connector+technology-21335114,Conn Micro USB Type B RCP 2Power/3Signal POS 0.65mm Solder RA SMD 5 Terminal 1 Port T/R,Micro-USB Connector,J3,,,,Compliant,1,,,73T7895,,,,,,,,,,0.232,,,,,1341,,,,,1,,,,,https://octopart.com/click/track?country=US&ct=offers&ppid=21335114&sid=2402&sig=0acd79c&vpid=44730736&ai4=706,,,Newark,73T7895,,0.232,0.232,0.232,1341,1,https://octopart.com/click/track?country=US&ct=offers&ppid=21335114&sid=2402&sig=0acd79c&vpid=44730736&ai4=706,
ESP32-WROOM-32,1,Espressif Systems,ESP32-WROOM-32,https://octopart.com/esp32-wroom-32-espressif+systems-91025511,Bluetooth and Wi-Fi Module 2.4GHz to 2.5GHz 2.7V to 3.6V 38-Pin SMD Module,ESP32 Microcontroller Module,U1,,,8w,Non-Compliant,1,1904-1010-6-ND,,,,,Custom Reel,,,,,0,,,,,0,,,,,1,,,,,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=91025511&sid=459&sig=0727cd9&vpid=475661584&ai4=706,,,,,Digi-Key,1904-1010-6-ND,Custom Reel,0,0,0,0,1,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=91025511&sid=459&sig=0727cd9&vpid=475661584&ai4=706,
MAX31855KASA+T,1,Maxim Integrated,MAX31855KASA+T,https://octopart.com/max31855kasa%2Bt-maxim+integrated-18998174,MAX31855 Series 3.6V 900 uA 470.6 mW Thermocouple-to-Digital Converter - SOIC-8,Thermocouple Interface IC,U5,,Production (Last Updated: 1 month ago),52w,Compliant,1,MAX31855KASA+TCT-ND,700-MAX31855KASA+T,73Y3353,,1904615,Cut Tape,Tape & Reel,,,,5.31,5.38,5.83,,,4633,7895,0,,1,1,1,1,,2500,https://octopart.com/click/track?country=US&ct=offers&ppid=18998174&sid=459&sig=03a4b43&vpid=39491590&ai4=706,https://octopart.com/click/track?country=US&ct=offers&ppid=18998174&sid=2401&sig=0e8c6be&vpid=237844822&ai4=706,https://octopart.com/click/track?c=1&country=US&ct=offers&ppid=18998174&sid=2402&sig=0a82b77&vpid=252533317&ai4=706,,https://octopart.com/click/track?country=US&ct=offers&ppid=18998174&sid=10022&sig=0aae850&vpid=614714648&ai4=706,Digi-Key,MAX31855KASA+TCT-ND,Cut Tape,5.31,5.31,5.31,4633,1,https://octopart.com/click/track?country=US&ct=offers&ppid=18998174&sid=459&sig=03a4b43&vpid=39491590&ai4=706,
